MsgID.GLOBAL_POSITION,0.0000000,-122.3976949,37.7937039,0.1930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,155.3640000,135.9465485,-21.4796906,-0.1932421
MsgID.LOCAL_VELOCITY,155.3640000,0.0003568,-0.0000770,0.0000211
MsgID.GLOBAL_POSITION,0.0000000,-122.3976923,37.7937032,0.2130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,155.6150000,135.8640747,-21.2444534,-0.2137433
MsgID.LOCAL_VELOCITY,155.6150000,0.0003758,-0.0000799,0.0000125
MsgID.GLOBAL_POSITION,0.0000000,-122.3976944,37.7937039,0.2280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,155.8650000,135.9407349,-21.4372330,-0.2280171
MsgID.LOCAL_VELOCITY,155.8650000,0.0003456,-0.0000718,0.0000242
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_POSITION,156.1150000,135.9895020,-21.4234753,-0.2357278
MsgID.LOCAL_VELOCITY,156.1150000,0.0002806,0.0005651,0.0000659
MsgID.GLOBAL_POSITION,0.0000000,-122.3976943,37.7937043,0.2350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,156.3650000,135.8343811,-21.3997860,-0.2330802
MsgID.LOCAL_VELOCITY,156.3650000,0.0003865,-0.0001062,0.0000032
MsgID.GLOBAL_POSITION,0.0000000,-122.3976940,37.7937029,0.2330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,156.6150000,135.7560425,-21.4850807,-0.2183595
MsgID.LOCAL_VELOCITY,156.6150000,0.0002764,0.0005701,0.0000838
MsgID.GLOBAL_POSITION,0.0000000,-122.3976950,37.7937022,0.2180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,156.8650000,135.9323730,-21.3523045,-0.1960348
MsgID.LOCAL_VELOCITY,156.8650000,0.0003794,0.0000153,-0.0000294
MsgID.GLOBAL_POSITION,0.0000000,-122.3976935,37.7937038,0.1960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_POSITION,157.1150000,135.9990845,-21.3490887,-0.1627345
MsgID.LOCAL_VELOCITY,157.1150000,0.0002832,0.0005712,0.0000615
MsgID.GLOBAL_POSITION,0.0000000,-122.3976934,37.7937044,0.1620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,157.3660000,135.8951111,-21.5011292,-0.1306622
MsgID.LOCAL_VELOCITY,157.3660000,0.0003835,-0.0000834,0.0000190
MsgID.GLOBAL_POSITION,0.0000000,-122.3976951,37.7937035,0.1300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,157.6160000,135.8917542,-21.5194569,-0.0961034
MsgID.LOCAL_VELOCITY,157.6160000,0.0003818,0.0000198,-0.0000293
MsgID.GLOBAL_POSITION,0.0000000,-122.3976954,37.7937034,0.0960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,157.8660000,135.8908234,-21.3935490,-0.0715204
MsgID.LOCAL_VELOCITY,157.8660000,0.0003514,-0.0000891,-0.0000038
MsgID.GLOBAL_POSITION,0.0000000,-122.3976939,37.7937034,0.0710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_POSITION,158.1160000,135.9240265,-21.3705425,-0.0529533
MsgID.LOCAL_VELOCITY,158.1160000,0.0003710,-0.0000793,0.0000168
MsgID.GLOBAL_POSITION,0.0000000,-122.3976937,37.7937037,0.0520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,158.3660000,135.9347687,-21.3562660,-0.0458144
MsgID.LOCAL_VELOCITY,158.3660000,0.0003548,-0.0000829,0.0000191
MsgID.GLOBAL_POSITION,0.0000000,-122.3976935,37.7937038,0.0450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,158.6160000,135.8921509,-21.2198582,-0.0469439
MsgID.LOCAL_VELOCITY,158.6160000,0.0003646,-0.0000742,0.0000198
MsgID.GLOBAL_POSITION,0.0000000,-122.3976920,37.7937034,0.0460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,158.8660000,135.8496246,-21.3345566,-0.0536992
MsgID.LOCAL_VELOCITY,158.8660000,0.0003591,-0.0000757,0.0000342
MsgID.GLOBAL_POSITION,0.0000000,-122.3976933,37.7937031,0.0530000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_POSITION,159.1160000,135.7688904,-21.4488277,-0.0641832
MsgID.LOCAL_VELOCITY,159.1160000,0.0003691,-0.0000736,0.0000277
MsgID.GLOBAL_POSITION,0.0000000,-122.3976946,37.7937023,0.0640000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,159.3670000,135.9648132,-21.4025650,-0.0727600
MsgID.LOCAL_VELOCITY,159.3670000,0.0003752,-0.0000803,0.0000052
MsgID.GLOBAL_POSITION,0.0000000,-122.3976940,37.7937041,0.0720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,159.6170000,135.9479523,-21.3052692,-0.0794185
